ID,Season,Date,Home Team Api ID,Away Team Api ID,Home Team Goals,Away Team Goals
524,2010/2011,2010-08-01,9987,9993,2,1
528,2010/2011,2010-10-02,10000,9986,1,1
529,2010/2011,2010-10-02,9994,9993,1,0
531,2010/2011,2010-10-01,8203,9987,2,2
533,2010/2011,2010-10-16,9991,8571,2,0
534,2010/2011,2010-10-17,9987,9985,4,2
537,2010/2011,2010-10-16,9986,9994,1,2
542,2010/2011,2010-10-24,9985,9991,2,1
543,2010/2011,2010-10-23,9997,9986,3,2
545,2010/2011,2010-10-22,8571,9987,1,0
546,2010/2011,2010-10-23,8203,9993,5,1
550,2010/2011,2010-10-30,9991,8203,3,1
552,2010/2011,2010-10-30,9993,9997,0,0
553,2010/2011,2010-10-30,10000,9994,1,1
554,2010/2011,2010-10-29,9986,8571,0,0
559,2010/2011,2010-11-06,9997,10000,0,3
560,2010/2011,2010-11-06,8571,9993,4,0
561,2010/2011,2010-11-06,8203,9986,2,0
564,2010/2011,2010-11-07,9984,9991,0,1
567,2010/2011,2010-11-13,9987,9984,3,0
568,2010/2011,2010-11-13,9993,9985,0,1
569,2010/2011,2010-11-14,10000,8571,1,1
571,2010/2011,2010-11-13,9994,9997,3,0
576,2010/2011,2010-11-21,10000,9985,2,0
577,2010/2011,2010-11-20,9986,9987,1,3
578,2010/2011,2010-11-20,9994,8203,3,1
583,2010/2011,2010-11-26,9987,9991,1,2
585,2010/2011,2011-01-18,8571,9994,0,0
586,2010/2011,2010-11-28,8203,10000,0,0
588,2010/2011,2010-11-27,9984,9993,1,1
590,2010/2011,2010-12-05,9993,9987,0,1
591,2010/2011,2010-12-04,9997,8571,1,0
593,2010/2011,2011-03-23,9986,9984,0,3
594,2010/2011,2010-12-03,9994,9985,2,1
598,2010/2011,2010-12-11,9985,9997,1,0
599,2010/2011,2010-12-11,9991,9986,2,1
604,2010/2011,2010-12-11,9984,10000,1,3
606,2010/2011,2010-08-08,9991,9987,0,4
607,2010/2011,2010-08-08,9993,9984,0,0
608,2010/2011,2010-08-07,10000,8203,1,2
610,2010/2011,2010-08-07,9994,8571,1,1
614,2010/2011,2011-02-16,9993,9991,2,2
615,2010/2011,2011-02-23,9997,8203,0,1
