Ad System,Day,Campaign ID,Group ID,Ad ID,Keyword ID,Cost,Shows,Clicks
yandex.direct,2019-03-04,1329629,167879133,408701923,572132743,0.0,9,0
yandex.direct,2019-03-04,1329635,167879145,408701577,572134361,0.0,3,0
google.adwords,2019-03-04,1329699,167881531,414199157,572140207,0.0,1,0
yandex.direct,2019-03-04,1329629,167879133,408701923,572132739,14.39,95,1
yandex.direct,2019-03-04,1329641,167879345,408701991,572133101,0.0,3,0
yandex.direct,2019-03-04,1329625,167879087,408701713,572132555,0.0,1,0
google.adwords,2019-03-04,1329693,167881771,414199619,572141235,0.0,2,0
yandex.direct,2019-03-04,1329611,167879047,408702101,572133819,13.55,285,2
yandex.direct,2019-03-04,1329641,167879345,408701991,572133103,109.21,2,1
yandex.direct,2019-03-04,1329637,167879369,408701435,572135887,0.0,1,0
yandex.direct,2019-03-04,1329647,167879043,408702043,572136041,10.05,9,1
yandex.direct,2019-03-04,1329623,167879325,408701727,572135595,13.68,1,1
yandex.direct,2019-03-04,1329625,167879087,408701713,572132663,0.0,7,0
yandex.direct,2019-03-04,1329643,167879101,408701839,572134227,0.0,1,0
yandex.direct,2019-03-04,1329647,167879035,408702029,572135961,0.0,1,0
yandex.direct,2019-03-04,1329635,167879145,408701579,572134375,0.0,2,0
yandex.direct,2019-03-04,1329625,167879083,408701703,572132397,0.0,4,0
yandex.direct,2019-03-04,1329647,167879043,408702045,572136029,0.0,6,0
google.adwords,2019-03-04,1329667,167881627,414199315,572140743,0.0,1,0
yandex.direct,2019-03-04,1329643,167879097,408701831,572134203,0.0,58,0
google.adwords,2019-03-04,1329667,167881625,414199325,572141547,0.0,1,0
google.adwords,2019-03-04,1329693,167881757,414199569,572141723,0.0,1,0
google.adwords,2019-03-04,1329693,167881767,414199571,572141867,68.02,1,1
yandex.direct,2019-03-04,1329611,167879057,408701853,572133895,0.0,4,0
google.adwords,2019-03-04,1329699,167881531,414199159,572141673,0.0,1,0
yandex.direct,2019-03-04,1329631,167879271,408701359,572135193,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701709,572132435,0.0,3,0
yandex.direct,2019-03-04,1329641,167879333,408701419,572133013,0.0,2,0
yandex.direct,2019-03-04,1329633,167879439,408701675,572133665,0.0,2,0
yandex.direct,2019-03-04,1329635,167879145,408701577,572134369,0.0,1,0
yandex.direct,2019-03-04,1329625,167879085,408701707,572132463,0.0,1,0
yandex.direct,2019-03-04,1329609,167879303,408701517,572132995,143.82,18,4
yandex.direct,2019-03-04,1329635,167879165,408701621,572134565,49.07,29,2
yandex.direct,2019-03-04,1329611,167879045,408702083,572133809,0.0,76,0
yandex.direct,2019-03-04,1329643,167879113,408701865,572134259,0.0,49,0
yandex.direct,2019-03-04,1329625,167879087,408701713,572132553,49.41,171,3
google.adwords,2019-03-04,1329689,167881689,414199369,572140653,0.0,1,0
yandex.direct,2019-03-04,1329641,167879351,408701475,572133137,0.0,21,0
yandex.direct,2019-03-04,1329623,167879329,408701737,572135747,0.0,1,0
yandex.direct,2019-03-04,1329611,167879047,408702101,572133831,0.0,22,0
yandex.direct,2019-03-04,1329609,167879291,408701489,572132921,0.0,1,0
yandex.direct,2019-03-04,1329611,167879049,408701553,572133849,0.0,6,0
